AQI,AQI_Class,hour,fog_impact_index,o_glcm_energy,o_glcm_contrast,o_glcm_homogenity,o_glcm_entropy,glcm_energy_delta,glcm_contrast_delta,glcm_homogenity_delta,glcm_entropy_delta,airligh_r,airlight_g,airlight_b,o_r_mean,o_r_variance,o_r_skewness,o_g_mean,o_g_variance,o_g_skewness,o_b_mean,o_b_variance,o_b_skewness,o_r2g,o_r2b,o_g2b,d_r_mean,d_r_variance,d_r_skewness,d_g_mean,d_g_variance,d_g_skewness,d_b_mean,d_b_variance,d_b_skewness
158,d_Unhealthy,12:00,0.375853,0.00496071,317.334,0.378681,7.39223,0.00833638,-246.032,0.17697,-0.916477,229.58,229,227.56,123.888,6014.03,0.127968,118.661,6307.91,0.158037,115.617,6561.16,0.173587,1.04359,1.07078,1.02605,115.247,5062.85,0.166154,106.904,4774.62,0.183701,103.23,4863.78,0.229606
158,d_Unhealthy,12:00,0.503165,0.00130749,320.5,0.276667,8.0477,0.029248,-254.375,0.248347,-1.8836,215.3,216.42,220.06,131.767,5454.91,-0.118812,124.301,5879.34,-0.106392,124.205,5576.91,-0.117883,1.05927,1.0599,1.0006,102.597,3033.33,0.156723,93.8271,3151.54,0.19559,91.247,2690.25,0.25949
158,d_Unhealthy,12:00,0.33757,0.00209832,394.227,0.338057,8.21175,0.0309927,-320.337,0.270128,-2.25937,219.04,221.04,222.04,110.139,4987.19,0.384321,106.012,5169.68,0.415011,108.827,4836.97,0.384667,1.03867,1.01179,0.974121,90.5546,3629.36,0.671588,85.7714,3574.89,0.693892,90.3509,3450.35,0.646598
158,d_Unhealthy,12:00,0.521846,0.00242196,1048.28,0.264076,8.54722,0.0291215,-872.911,0.222529,-1.80658,215.12,214,213.98,137.484,4568.68,-0.376145,134.746,4768.83,-0.370136,128.18,5844.48,-0.296569,1.01983,1.07197,1.05113,117.568,3396.05,-0.0787994,114.064,3255.87,-0.169992,109.054,4135.87,-0.0973205
158,d_Unhealthy,12:00,0.400076,0.000530018,1182.37,0.186938,9.36408,0.0434448,-1013.32,0.292516,-2.77376,218,215.3,216.7,121.529,4332.18,0.0105506,121.07,4241.88,-0.017703,116.797,5056.58,0.0329442,1.00383,1.04048,1.03651,104.54,3413.47,0.174408,104.14,3159.65,0.0893656,100.771,3879.13,0.180254
158,d_Unhealthy,12:00,0.521956,0.00313123,928.642,0.261524,8.26407,0.0244829,-844.428,0.221696,-1.95993,194.06,192.02,192,138.012,3501.08,-0.724592,132.335,3886.25,-0.57718,128.034,4612.36,-0.476255,1.04261,1.0777,1.03366,126.142,3128.92,-0.370583,125.18,3666.42,-0.359934,124.459,4742.11,-0.238177
158,d_Unhealthy,12:00,0.352441,0.00101185,1104.2,0.178955,9.04849,0.0202025,-1032.76,0.252846,-2.27408,195.88,191.72,190.72,128.549,3383.25,-0.509839,121.355,3416.31,-0.379736,115.127,3932.65,-0.223046,1.05848,1.11532,1.0537,120.729,3315.2,-0.250031,113.578,3219.45,-0.174751,107.951,3674.14,-0.0292806
158,d_Unhealthy,12:00,0.29794,0.000567793,1397.64,0.152982,9.41059,0.047033,-1339.42,0.326197,-3.20823,195.02,190.02,188.98,124.973,3412.81,-0.441798,117.468,3399.52,-0.322406,110.587,3860.29,-0.153813,1.06285,1.12824,1.06153,119.357,3405.53,-0.263648,111.73,3307.02,-0.160881,104.787,3672.28,0.025849
158,d_Unhealthy,12:00,0.530626,0.000907671,1101.58,0.198797,8.70406,0.0714953,-1010.85,0.296434,-2.79743,188,183.3,183.7,130.065,2559.35,-0.760034,125.912,3101.27,-0.671954,118.045,4774,-0.449414,1.03226,1.10089,1.06649,95.7531,2780.46,0.320726,104.277,2209.88,-0.0772918,105.444,3732.77,-0.257319
158,d_Unhealthy,12:00,0.370062,0.000620521,1154.39,0.159408,9.16269,0.145519,-1056.78,0.403546,-3.85614,207.08,195.58,192.3,127.51,3533.66,-0.45112,127.009,3498.47,-0.409094,113.531,5224.08,-0.0461911,1.00378,1.122,1.11777,111.78,3057.08,-0.0867322,116.362,2904.1,-0.290516,103.45,4172.83,0.0187005
158,d_Unhealthy,12:00,0.448794,0.000626809,1405.68,0.159441,9.13041,0.0520962,-1294.78,0.300363,-3.10761,193.28,188.38,187.22,128.605,2745.77,-0.621565,123.563,3300.68,-0.493562,114.369,5137.11,-0.230822,1.04041,1.12372,1.08007,97.1935,3143.28,0.219497,103.444,2396.12,0.0388953,105.304,4242.02,-0.120518
158,d_Unhealthy,12:00,0.449166,0.000808893,1003.09,0.187077,8.84992,0.101136,-899.126,0.332788,-3.19661,204.7,195.9,193.1,134.119,3245.76,-0.637403,130.968,3469.8,-0.528176,118.914,5645.4,-0.230701,1.02405,1.12697,1.10051,105.982,3365.87,0.0812656,110.637,2620.82,-0.0317856,104.618,4046.67,-0.162016
158,d_Unhealthy,12:00,0.490261,0.00442611,1138.74,0.277795,8.19327,0.0466917,-1013.82,0.25738,-2.19296,219.76,217.76,217.44,135.674,5934.43,-0.325998,134.966,5778.37,-0.295065,125.113,7283.3,-0.150093,1.00499,1.08365,1.07828,118.55,4687.08,-0.101325,117.668,4307.2,-0.126276,110.187,5706.7,0.0284272
158,d_Unhealthy,12:00,0.657807,0.00225839,417.04,0.287035,7.79343,0.0289072,-332.201,0.202459,-1.31189,223.52,220.52,216.52,145.601,4330.96,-0.838391,145.958,4509.85,-0.796142,139.527,6166.64,-0.719999,0.997546,1.04344,1.046,93.7938,3129.84,0.383261,92.6055,2525.18,0.420188,89.2063,2662.88,-0.0188686
158,d_Unhealthy,12:00,0.542346,0.00234916,349.453,0.302697,7.56781,0.0617282,-259.704,0.23239,-1.67156,211.64,212.64,216.64,131.636,6360.83,-0.380365,127.948,6172.57,-0.368544,127.954,5863.63,-0.367046,1.02845,1.02859,1.00013,105.25,4106.42,-0.142174,100.915,3797.35,-0.127967,99.3992,3345.69,-0.141384
158,d_Unhealthy,12:00,0.322646,0.0061302,365.02,0.38811,7.50115,0.00187335,-281.797,0.181025,-1.17127,222.14,222.14,222.14,113.338,5324.28,0.331344,110.002,5448.89,0.344698,108.434,5513.57,0.349689,1.03019,1.04465,1.01403,103.124,4495.07,0.367919,98.7341,4378.79,0.390625,97.013,4374.46,0.427774
158,d_Unhealthy,12:00,0.322646,0.0061302,365.02,0.38811,7.50115,0.00187335,-281.797,0.181025,-1.17127,222.14,222.14,222.14,113.338,5324.28,0.331344,110.002,5448.89,0.344698,108.434,5513.57,0.349689,1.03019,1.04465,1.01403,103.124,4495.07,0.367919,98.7341,4378.79,0.390625,97.013,4374.46,0.427774
158,d_Unhealthy,12:00,0.665759,0.00468814,768.447,0.321294,7.5546,0.00730967,-693.866,0.13217,-0.833825,196,194,194,154.466,2991.89,-1.23015,149.353,3409.5,-1.10826,144.555,4241.32,-0.99105,1.03376,1.06796,1.03309,135.999,2788.92,-0.544155,136.584,2937.24,-0.827828,133.838,3752.26,-0.740778
158,d_Unhealthy,12:00,0.49153,0.000886242,264.632,0.303416,8.16708,0.0302129,-234.109,0.255923,-2.10163,213.52,215.24,211.16,123.81,4389.88,-0.169413,124.088,4580.15,-0.138004,121.751,4451.3,-0.139715,0.997553,1.01638,1.01888,90.3952,2793.84,0.604452,87.8091,2439.71,0.676318,82.9862,1890.35,0.648479
158,d_Unhealthy,12:00,0.491889,0.000878912,260.52,0.304805,8.16717,0.0298849,-233.448,0.256386,-2.10475,213.06,215.88,211.54,124.215,4361.66,-0.182966,124.534,4556.31,-0.153429,122.098,4432.2,-0.153557,0.997332,1.01703,1.01975,90.1861,2667.87,0.576744,87.0741,2244.02,0.624141,84.1863,1913.61,0.635701
158,d_Unhealthy,12:00,0.552883,0.00097864,213.921,0.3281,8.02894,0.0198298,-181.357,0.204462,-1.55645,213.42,217.3,212.66,130.204,4472.3,-0.361829,130.143,4672.61,-0.338061,127.141,4422.4,-0.337772,1.00017,1.02364,1.02347,88.1986,2389.63,0.474641,82.6802,1883.3,0.453084,78.6195,1582.24,0.566407
158,d_Unhealthy,12:00,0.53055,0.000916533,242.81,0.318465,8.10388,0.024712,-208.548,0.219867,-1.73142,211.54,215.48,210.66,126.759,4534.37,-0.294396,126.82,4739.15,-0.270076,123.831,4478.64,-0.271112,0.999472,1.02336,1.0239,88.4114,2535.57,0.474669,83.1591,2023.72,0.437099,79.2074,1723.39,0.54117
158,d_Unhealthy,12:00,0.52481,0.000894607,235.23,0.316116,8.12462,0.0259037,-202.88,0.224047,-1.78548,210.86,214.52,210.46,125.64,4572.57,-0.26776,125.588,4783.27,-0.243613,122.474,4510.45,-0.244718,1.00035,1.02558,1.02522,87.4621,2536.25,0.48503,83.6338,2147.63,0.454974,78.4996,1744.12,0.550945
158,d_Unhealthy,12:00,0.522713,0.000905333,245.189,0.317328,8.11589,0.0275268,-209.974,0.226098,-1.81261,211.28,215.24,210.36,125.274,4619.85,-0.262191,125.241,4827.36,-0.239187,122.211,4569.01,-0.238125,0.999945,1.02471,1.02477,87.7804,2583.08,0.470984,82.4043,2073.88,0.441558,78.3124,1756.45,0.540797
158,d_Unhealthy,12:00,0.525477,0.000926666,230.551,0.316816,8.10444,0.0291406,-200.654,0.229621,-1.8398,211.9,215.9,210.9,125.581,4651.21,-0.269418,125.533,4874.55,-0.245496,122.52,4594.69,-0.246369,1.00013,1.02463,1.0245,87.2817,2554.88,0.454784,81.8588,2049.11,0.424274,77.6157,1734.34,0.531909
158,d_Unhealthy,12:00,0.539704,0.000943494,213.118,0.318282,8.06877,0.0268189,-184.67,0.222504,-1.7527,212.54,216.54,211.54,127.435,4672.33,-0.3089,127.399,4936.9,-0.283995,124.343,4651.95,-0.284375,1.00029,1.02467,1.02438,87.8123,2612.55,0.477536,82.5834,2144.24,0.463084,78.2627,1819.51,0.582334
158,d_Unhealthy,12:00,0.554658,0.000970566,203.136,0.321822,8.02745,0.0250267,-173.586,0.215054,-1.66719,213.56,217.56,212.56,128.793,4710.99,-0.351777,128.995,4951.52,-0.327942,125.537,4691.3,-0.325995,0.998344,1.02569,1.02739,86.2687,2442.33,0.429604,81.0658,1971.54,0.413022,76.0359,1642.27,0.539189
158,d_Unhealthy,12:00,0.559727,0.000954649,200.459,0.322281,8.02884,0.0232642,-169.178,0.211495,-1.63555,214.6,218.6,213.6,129.548,4786.36,-0.360984,129.675,5018.56,-0.33944,126.023,4754.92,-0.336883,0.998839,1.02758,1.02878,87.2333,2474.55,0.446157,81.8957,1991.84,0.438415,76.2174,1648.96,0.567822
158,d_Unhealthy,12:00,0.490215,0.000899633,241.928,0.310416,8.10805,0.0314701,-217.736,0.25833,-2.1096,210.86,214.14,211.3,122.794,4353.4,-0.171364,122.962,4551.9,-0.143668,120.422,4413.32,-0.145859,0.998489,1.01944,1.02098,87.1993,2420.46,0.537344,86.5682,2253.76,0.619113,83.9145,1951.95,0.608915
158,d_Unhealthy,12:00,0.557074,0.000959737,192.485,0.316924,8.01469,0.0241841,-163.97,0.218048,-1.66377,213.64,217.62,212.68,128.427,4826.69,-0.345285,128.681,5082.32,-0.322548,124.964,4792.15,-0.321413,0.997906,1.02732,1.02948,86.9735,2550.16,0.483716,82.4259,2104.11,0.454466,76.0724,1703.38,0.604543
158,d_Unhealthy,12:00,0.548669,0.000926818,205.443,0.322066,8.04735,0.0226675,-173.11,0.215526,-1.67077,216.84,220.82,215.68,129.962,4822.33,-0.322079,130.067,5036.43,-0.298877,126.667,4780.36,-0.297859,0.999043,1.02576,1.02674,87.9341,2569.18,0.49518,82.0747,2004.55,0.462208,77.2114,1676.17,0.58345
158,d_Unhealthy,12:00,0.540367,0.000929586,215.577,0.322063,8.05715,0.0227443,-185.052,0.219703,-1.7159,215,218,216,129.005,4752.08,-0.284352,128.74,4986.29,-0.263689,125.83,4703.86,-0.264063,1.00193,1.02494,1.02297,85.9287,2414.82,0.53873,85.8874,2331.9,0.509131,79.8535,1838.21,0.603132
158,d_Unhealthy,12:00,0.53054,0.000993489,220.574,0.32791,8.05784,0.0222924,-190.755,0.220753,-1.73749,216.32,217.84,215.84,128.394,4715.97,-0.253758,127.755,4919.63,-0.233048,125.616,4666.88,-0.233753,1.00476,1.02181,1.01698,87.3363,2479.2,0.544003,85.7647,2291.78,0.509016,79.4617,1750.47,0.606746
158,d_Unhealthy,12:00,0.522359,0.000937461,240.546,0.32408,8.10783,0.0257005,-210.257,0.227847,-1.84138,216.06,217.74,215.74,126.842,4728.1,-0.227728,126.256,4931.21,-0.206398,124.031,4668.69,-0.205615,1.00454,1.02238,1.01776,85.878,2432.77,0.530083,84.4319,2247.47,0.487736,78.2117,1704.33,0.589949
158,d_Unhealthy,12:00,0.513153,0.000898123,247.69,0.320297,8.13364,0.0271643,-216.182,0.234786,-1.90623,215.34,217.66,215.66,125.568,4756.08,-0.199875,124.961,4955.56,-0.180643,122.521,4689.74,-0.17943,1.00475,1.0246,1.01976,85.2605,2421.77,0.514242,83.8437,2241.23,0.478846,78.2244,1745.39,0.558492
158,d_Unhealthy,12:00,0.503199,0.000890963,261.166,0.315881,8.15648,0.0293988,-227.336,0.240151,-1.98033,213.82,216.82,214.82,124.267,4773.46,-0.170437,123.726,4963.96,-0.153691,120.935,4718.43,-0.150486,1.00409,1.02718,1.02299,85.5863,2512.8,0.54595,84.3064,2329.13,0.507103,79.1804,1885.36,0.576798
158,d_Unhealthy,12:00,0.507707,0.000909403,264.641,0.318365,8.15202,0.0294615,-232.428,0.238703,-1.97112,214.82,217.82,215.82,124.83,4784.51,-0.1835,124.409,4962.51,-0.166671,121.574,4733.73,-0.162529,1.003,1.02634,1.02327,84.4017,2345.01,0.526684,83.2172,2154.98,0.475638,78.3772,1759.85,0.55539
158,d_Unhealthy,12:00,0.514588,0.00088817,257.871,0.314983,8.13721,0.0284612,-226.674,0.238359,-1.93032,215,218.04,215.92,125.515,4802.54,-0.204821,125.33,4964.26,-0.185733,122.146,4744.31,-0.180367,1.00132,1.02729,1.02593,84.5632,2378.08,0.496224,83.6345,2176.53,0.46503,77.9974,1764.68,0.542795
158,d_Unhealthy,12:00,0.52086,0.00100246,246.161,0.328681,8.07492,0.024507,-214.659,0.224878,-1.80532,216.36,217.48,215.48,126.49,4730.77,-0.220156,125.962,4927.53,-0.199403,123.844,4658.38,-0.198706,1.00405,1.02117,1.01705,86.2418,2426.84,0.52827,84.8847,2266,0.493119,77.6517,1636.79,0.595853
158,d_Unhealthy,12:00,0.491903,0.000901845,251.816,0.313395,8.11374,0.0275087,-223.692,0.248334,-2.01715,210.8,214.38,210.64,123.422,4322.73,-0.178526,123.294,4554.85,-0.148624,121.106,4394.13,-0.152909,1.0008,1.01892,1.01811,88.7132,2580.85,0.56993,86.0831,2273.74,0.641555,84.5167,2013.39,0.630498
158,d_Unhealthy,12:00,0.519453,0.000993697,249.235,0.327109,8.07915,0.0260133,-216.025,0.230098,-1.84558,216.82,217.82,215.82,126.26,4740.06,-0.216319,125.787,4937.71,-0.196516,123.7,4695.22,-0.195436,1.00349,1.02037,1.01682,85.5898,2366.75,0.505219,84.5413,2216.77,0.456774,77.5816,1623.54,0.549039
158,d_Unhealthy,12:00,0.517619,0.000981274,244.438,0.327084,8.08272,0.0268665,-212.15,0.229559,-1.85384,216.82,217.82,215.82,125.831,4744.93,-0.210006,125.352,4949.87,-0.19136,123.147,4699.06,-0.191102,1.00357,1.02157,1.01794,85.2517,2350.22,0.48697,84.2913,2213.5,0.44728,76.839,1589.42,0.519172
158,d_Unhealthy,12:00,0.509682,0.000944682,254.705,0.321681,8.12369,0.0273767,-221.943,0.231544,-1.88412,214.88,217.88,215.88,125.168,4758.45,-0.195235,124.581,4967.85,-0.176579,122.236,4710.36,-0.177158,1.00445,1.02369,1.01916,83.8221,2304.88,0.515215,82.6526,2152.19,0.47204,78.5555,1774.64,0.547694
158,d_Unhealthy,12:00,0.511021,0.000956322,249.003,0.323131,8.10917,0.0268361,-217.273,0.230584,-1.86589,213.96,216.96,214.96,125.22,4765.21,-0.19483,124.82,4951.06,-0.177911,122.246,4709.72,-0.177035,1.0028,1.02388,1.02103,85.2045,2428.47,0.550506,84.2474,2267.78,0.518848,79.7246,1854.29,0.586635
158,d_Unhealthy,12:00,0.510908,0.000943997,245.101,0.32352,8.10217,0.0271627,-213.817,0.230525,-1.86867,214,217,215,125.421,4719.29,-0.192445,124.811,4951.48,-0.174944,122.325,4679.51,-0.176576,1.0046,1.02493,1.02023,85.1836,2403.67,0.556096,84.2357,2284.95,0.525912,79.4986,1823.01,0.584026
158,d_Unhealthy,12:00,0.521758,0.000897329,244.333,0.314881,8.11794,0.0243349,-213.012,0.225583,-1.79219,214.98,218.12,215.7,127.224,4730.5,-0.229632,126.6,4985.88,-0.208111,123.611,4658.87,-0.210014,1.00463,1.02883,1.02408,86.5579,2475.99,0.507834,85.0791,2305.14,0.466547,78.3542,1736.75,0.543581
